latitude,longitude,mag,place
36.2350006,-120.3375015,2.33,"11 km N of Coalinga, CA"
38.7779999,-122.760498,0.45,"0 km WNW of The Geysers, CA"
38.7888336,-122.7570038,1.28,"1 km N of The Geysers, CA"
38.7885017,-122.7574997,1.57,"1 km N of The Geysers, CA"
-13.6979,171.8404,4.7,Vanuatu region
61.3752,-150.7078,1.4,"21 km SSW of Susitna, Alaska"
31.638,-104.561,1.6,"62 km SSW of Whites City, New Mexico"
19.298666,-155.3858337,1.71000004,"14 km NE of PÄhala, Hawaii"
33.9636667,-116.7706667,1.14,"5 km NNE of Cabazon, CA"
19.25766754,-155.409668,1.74000001,"9 km NE of PÄhala, Hawaii"
38.8053322,-122.8239975,1.1,"7 km WNW of The Geysers, CA"
57.1948,-155.4671,2,"73 km SW of Karluk, Alaska"
-16.3028,-174.5362,4.8,"88 km WSW of Hihifo, Tonga"
33.68,-116.7176667,0.72,"7 km S of Idyllwild, CA"